atraso_15|MES-I|DIA-I|Hour-I|WEEKOFYEAR-I|DOW-I|OPERA|SIGLADES|TIPOVUELO|estacion-I|periodo_dia
0|1|1|23|52|7|American Airlines|Miami|I|verano|noche
0|1|2|23|1|1|American Airlines|Miami|I|verano|noche
0|1|3|23|1|2|American Airlines|Miami|I|verano|noche
0|1|4|23|1|3|American Airlines|Miami|I|verano|noche
1|1|5|23|1|4|American Airlines|Miami|I|verano|noche
1|1|6|23|1|5|American Airlines|Miami|I|verano|noche
1|1|7|23|1|6|American Airlines|Miami|I|verano|noche
1|1|8|23|1|7|American Airlines|Miami|I|verano|noche
1|1|9|23|2|1|American Airlines|Miami|I|verano|noche
1|1|11|23|2|3|American Airlines|Miami|I|verano|noche
1|1|14|23|2|6|American Airlines|Miami|I|verano|noche
0|1|16|23|3|1|American Airlines|Miami|I|verano|noche
1|1|18|23|3|3|American Airlines|Miami|I|verano|noche
1|1|21|23|3|6|American Airlines|Miami|I|verano|noche
1|1|23|23|4|1|American Airlines|Miami|I|verano|noche
1|1|25|23|4|3|American Airlines|Miami|I|verano|noche
1|1|28|23|4|6|American Airlines|Miami|I|verano|noche
1|1|30|23|5|1|American Airlines|Miami|I|verano|noche
0|1|1|22|52|7|American Airlines|Miami|I|verano|noche
1|1|2|22|1|1|American Airlines|Miami|I|verano|noche
0|1|3|22|1|2|American Airlines|Miami|I|verano|noche
0|1|4|22|1|3|American Airlines|Miami|I|verano|noche
1|1|5|22|1|4|American Airlines|Miami|I|verano|noche
1|1|6|22|1|5|American Airlines|Miami|I|verano|noche
1|1|7|22|1|6|American Airlines|Miami|I|verano|noche
0|1|8|22|1|7|American Airlines|Miami|I|verano|noche
1|1|9|22|2|1|American Airlines|Miami|I|verano|noche
1|1|10|22|2|2|American Airlines|Miami|I|verano|noche
1|1|11|22|2|3|American Airlines|Miami|I|verano|noche
0|1|12|22|2|4|American Airlines|Miami|I|verano|noche
0|1|13|22|2|5|American Airlines|Miami|I|verano|noche
1|1|14|22|2|6|American Airlines|Miami|I|verano|noche
1|1|15|22|2|7|American Airlines|Miami|I|verano|noche
0|1|16|22|3|1|American Airlines|Miami|I|verano|noche
1|1|17|22|3|2|American Airlines|Miami|I|verano|noche
0|1|18|22|3|3|American Airlines|Miami|I|verano|noche
1|1|19|22|3|4|American Airlines|Miami|I|verano|noche
0|1|21|22|3|6|American Airlines|Miami|I|verano|noche
